군,시설군,호,용도군,세부용도,비고
9,주거업무시설군,1, 단독주택,가. 단독주택,"단독주택[단독주택의 형태를 갖춘 
가정어린이집·공동생활가정·지역아동센 터?공동육아나눔터(「아이돌봄 지원법」 제19조에 따른 공동육아나눔터를 말한다. 이하 같다)?작은도서관(「도서관법」 제2조제4호가목에 따른 작은 도서관을 말하며, 
해당 주택의 1층에 설치한 경우만 해당한다. 이하 같다) 및 노인복지시설(노인복지주택은 제외한다)을 포함한다]"
9,주거업무시설군,1, 단독주택,"나. 다중주택: 다음의 요건을 모두 갖춘 주택을 말한다. 
1) 학생 또는 직장인 등 여러 사람이 장기간 거주할 수 있는 구조로 되어 있 는 것 
2) 독립된 주거의 형태를 갖추지 않은 것(각 실별로 욕실은 설치할 수 있으 나, 취사시설은 설치하지 않은 것을 말한다) 
3) 1개 동의 주택으로 쓰이는 바닥면적(부설 주차장 면적은 제외한다. 이하 같다)의 합계가 660제곱미터 이하이고 주택으로 쓰는 층수(지하층은 제외 한다)가 3개 층 이하일 것. 
다만, 1층의 전부 또는 일부를 필로티 구조로 하여 주차장으로 사용하고 나머지 부분을 주택(주거 목적으로 한정한다) 외 의 용도로 쓰는 경우에는 해당 층을 주택의 층수에서 제외한다. 
4) 적정한 주거환경을 조성하기 위하여 건축조례로 정하는 실별 최소 면적, 창문의 설치 및 크기 등의 기준에 적합할 것",""""""
9,주거업무시설군,1, 단독주택,"다. 다가구주택: 다음의 요건을 모두 갖춘 주택으로서 공동주택에 해당하지 아 니하는 것을 말한다. 
1) 주택으로 쓰는 층수(지하층은 제외한다)가 3개 층 이하일 것. 
다만, 1층의 전부 또는 일부를 필로티 구조로 하여 주차장으로 사용하고 나머지 부분을 주택(주거 목적으로 한정한다) 외의 용도로 쓰는 경우에는 해당 층을 주택 의 층수에서 제외한다. 
2) 1개 동의 주택으로 쓰이는 바닥면적의 합계가 660제곱미터 이하일 것 
3) 19세대(대지 내 동별 세대수를 합한 세대를 말한다) 이하가 거주할 수 있 을 것",""""""
9,주거업무시설군,1, 단독주택,라. 공관(公館),""""""
9,주거업무시설군,2, 공동주택,가. 아파트: 주택으로 쓰는 층수가 5개 층 이상인 주택,"공동주택[공동주택의 형태를 갖춘 
가정어린이집·공동생활가정·지역아동센 터?공동육아나눔터?작은도서관·노인복지시설(노인복지주택은 제외한다) 및 「주택법 시행령」 제10조제1항제1호에 따른 소형 주택을 포함한다]. 
다 만, 가목이나 나목에서 층수를 산정할 때 1층 전부를 필로티 구조로 하여 주차장으로 사용하는 경우에는 필로티 부분을 층수에서 제외하고, 
다목에서 층수를 산정할 때 1층의 전부 또는 일부를 필로티 구조로 하여 주차장으로 사용하고 나머지 부분을 주택(주거 목적으로 한정한다) 외의 용도로 쓰는 경우에는 
해당 층을 주택의 층수에서 제외하며, 가목부터 라목까지의 규정에 서 층수를 산정할 때 지하층을 주택의 층수에서 제외한다."
9,주거업무시설군,2, 공동주택,"나. 연립주택: 주택으로 쓰는 1개 동의 바닥면적(2개 이상의 동을 지하주차장 으로 연결하는 경우에는 각각의 동으로 본다) 합계가 660제곱미터를 초과 하고, 층수가 4개 층 이하인 주택",""""""
9,주거업무시설군,2, 공동주택,"다. 다세대주택: 주택으로 쓰는 1개 동의 바닥면적 합계가 660제곱미터 이하 이고, 층수가 4개 층 이하인 주택(2개 이상의 동을 지하주차장으로 연결하 는 경우에는 각각의 동으로 본다)",""""""
9,주거업무시설군,2, 공동주택,"라. 기숙사: 학교 또는 공장 등의 학생 또는 종업원 등을 위하여 쓰는 것으로 서 
1개 동의 공동취사시설 이용 세대 수가 전체의 50퍼센트 이상인 것 
(「교육기본법」 제27조제2항에 따른 학생복지주택 및 「공공주택 특별 법」 제2조제1호의3에 따른 공공매입임대주택 중 독립된 주거의 형태를 갖 추지 않은 것을 포함한다)",""""""
7,근린생활시설군,3, 제1종 근린생활시설,"가. 식품·잡화·의류·완구·서적·건축자재·의약품·의료기기 등 일용품을 판매하는 소매점으로서 같은 건축물(하나의 대지에 두 동 이상의 건축물이 있는 경우에는 이를 같은 건축물로 본다. 
이하 같다)에 해당 용도로 쓰는 바닥면적의 합계가 1천 제곱미터 미만인 것",
7,근린생활시설군,3, 제1종 근린생활시설,"나. 휴게음식점, 제과점 등 음료·차(茶)·음식·빵·떡·과자 등을 조리하거 나 제조하여 판매하는 시설(제4호너목 또는 제17호에 해당하는 것은 제외 한다)로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 300제곱미 터 미만인 것",
